case_id,density_keep_fraction,noise_sigma_m,occlusion_bin_deg,n_points,n_visible_fragments,n_volume_estimates,ground_truth_P80_mm,estimated_P80_mm,P80_error_mm,P80_relative_error_pct
0,1.0,0.0,0.1,18000,475,321,265.18512159935074,260.3330643754406,-4.852057223910151,-1.8296868220385223
1,1.0,0.0,0.18,17348,378,247,265.18512159935074,229.16179584529294,-36.023325754057794,-13.58421827619834
2,1.0,0.0,0.35,5281,284,99,265.18512159935074,171.41478926297833,-93.7703323363724,-35.36032933176519
3,1.0,0.004,0.1,18000,474,320,265.18512159935074,261.7713349339382,-3.4137866654125446,-1.2873220959093592
4,1.0,0.004,0.18,17348,378,247,265.18512159935074,229.2479631988194,-35.93715840053133,-13.55172499263598
5,1.0,0.004,0.35,5281,284,99,265.18512159935074,172.47734780326766,-92.70777379608307,-34.95964375261921
6,1.0,0.01,0.1,18000,475,320,265.18512159935074,264.1875828805414,-0.9975387188093237,-0.37616692550211533
7,1.0,0.01,0.18,17348,378,247,265.18512159935074,230.8895015259589,-34.29562007339183,-12.932708994589309
8,1.0,0.01,0.35,5281,284,99,265.18512159935074,175.67350480880333,-89.51161679054741,-33.75438872690004
9,0.55,0.0,0.1,18000,475,322,265.18512159935074,261.2991983554887,-3.8859232438620097,-1.4653624684619273
10,0.55,0.0,0.18,9541,364,181,265.18512159935074,220.37548816772733,-44.80963343162341,-16.89749151889565
11,0.55,0.0,0.35,2904,260,43,265.18512159935074,164.57287829999586,-100.61224329935487,-37.940380173878204
12,0.55,0.004,0.1,18000,478,316,265.18512159935074,263.2853737279958,-1.8997478713549185,-0.716385542257198
13,0.55,0.004,0.18,9541,359,181,265.18512159935074,220.23214532829957,-44.95297627105117,-16.951545395886658
14,0.55,0.004,0.35,2904,266,46,265.18512159935074,162.4735259776731,-102.71159562167765,-38.732035569045706
15,0.55,0.01,0.1,18000,474,320,265.18512159935074,262.42228004693914,-2.762841552411601,-1.0418539078469797
16,0.55,0.01,0.18,9541,357,171,265.18512159935074,217.89084672640408,-47.29427487294666,-17.834437538468016
17,0.55,0.01,0.35,2904,259,45,265.18512159935074,167.1021976593265,-98.08292394002424,-36.98658633202308
18,0.3,0.0,0.1,12230,462,270,265.18512159935074,257.60452188958857,-7.5805997097621685,-2.8586067212379866
19,0.3,0.0,0.18,5204,339,104,265.18512159935074,193.8812237107776,-71.30389788857315,-26.888347829823243
20,0.3,0.0,0.35,1584,241,14,265.18512159935074,150.6847466261495,-114.50037497320125,-43.17752605524819
21,0.3,0.004,0.1,12230,467,270,265.18512159935074,253.63405459688022,-11.551067002470518,-4.355850333082487
22,0.3,0.004,0.18,5204,351,99,265.18512159935074,196.75733446376321,-68.42778713558752,-25.803780665708004
23,0.3,0.004,0.35,1584,237,13,265.18512159935074,155.08052800329656,-110.10459359605417,-41.51989860215587
24,0.3,0.01,0.1,12230,463,264,265.18512159935074,258.1788281282132,-7.006293471137553,-2.642038674297445
25,0.3,0.01,0.18,5204,344,99,265.18512159935074,202.71731033276453,-62.46781126658621,-23.556303192968862
26,0.3,0.01,0.35,1584,238,15,265.18512159935074,156.01207484142725,-109.17304675792349,-41.16861688902187
